Name,Accusations,Relationships,Percentage,Month,Sex,Age,Marital Status,Town,Role,Notes
"Carrier, Andrew",1,16,0.06,7,Male,15,single,Andover,Confessor,
"Carrier, Thomas Jr.",1,11,0.09,8,Male,10,single,Andover,Confessor,
"Chandler, Phebe",1,8,0.13,6,Female,12,single,Andover,Accuser,
"Coleman, Sarah",1,1,1,8,Female,22,single,Rowley,Accuser,Deposition menitioned in a secondary source.  See Rosenthal doc 643
"Dane, Deliverance",1,65,0.02,9,Female,41,married,Andover,Confessor,
"Denmark, Bridget",1,3,0.33,5,Female,NA,single,Boston,Confessor,"Accusations made, not in official court records, not believed"
"Dodd, Johanna",1,5,0.2,9,Female,NA,single,Marblehead,Accuser,
"Draper, Joseph",1,8,0.13,9,Male,21,single,Andover,Confessor,
"Eames, Daniel",1,22,0.05,8,Male,29,married,Boxford,Confessor,
"Faulkner, Abigail Jr.",1,13,0.08,9,Female,7,single,Andover,Confessor,
"Faulkner, Dorothy",1,13,0.08,9,Female,12,single,Andover,Confessor,
"Foster, Ann",1,21,0.05,7,Female,NA,married,Andover,Confessor,
"Foster, Hannah",1,7,0.14,9,Female,31,married,Andover,Accuser,
"Fuller, Elizabeth",1,4,0.25,3,Female,34,single,Ipswich,Accuser,
"Fuller, Mary",1,5,0.2,3,Female,17,single,Ipswich,Accuser,
"Goodall, -",1,23,0.04,3,Female,NA,married,Salem Village,Accuser,
"Herrick, Mary",1,9,0.11,11,Female,15,single,Wenham,Accuser,
"Hill, Mary",1,2,0.5,9,Female,25,married,Salem,Accuser,
"Jackson, John Jr.",1,26,0.04,8,Male,22,single,Rowley,Confessor,
"Kenny, Henry",1,21,0.05,3,Male,23,married,Salem Village,Accuser,
"Knowlton, Mary",1,4,0.25,3,Female,11,single,Ipswich,Accuser,
"Lacey, Lawrence",1,3,0.33,8,Male,48,married,Andover,Accuser,
"Pickworth, Mary",1,13,0.08,9,Female,NA,NA,Salem,Accuser,
"Post, Mary",1,43,0.02,8,Female,28,single,Rowley,Confessor,
"Putney, John Jr.",1,6,0.17,6,Male,29,married,Salem,Accuser,
"Richardson, Mary",1,11,0.09,9,Female,NA,NA,Andover,Accuser,
"Ring, Joseph",1,10,0.1,5,Male,28,married,Salisbury,Accuser,
"Sawdy, John",1,4,0.25,9,Male,13,single,Andover,Confessor,
"Thorne, Mary",1,5,0.2,3,Female,NA,NA,Ipswich,Accuser,
"Towne, Rebecca",1,9,0.11,9,Female,24,single,Topsfield,Accuser,
Tuft's slave,1,7,0.14,5,Female,NA,NA,Malden,Accuser,
"Tyler, Martha",1,13,0.08,9,Female,16,single,Andover,Confessor,
"Watkins, Mary",1,8,0.13,,Female,NA,single,Milton,Accuser,
"Weston, Elizabeth",1,3,0.33,5,Female,NA,single,Reading,Accuser,
"Wilkins, Bray",1,20,0.05,5,Male,81,married,Salem Village,Accuser,
"Wilkins, Daniel",1,16,0.06,5,Male,17,single,Salem Village,Accuser,
"Wilkins, Rebecca",1,9,0.11,7,Female,19,single,Salem Village,Accuser,
"Wilkins, Samuel",1,2,0.5,5,Male,36,married,Salem Village,Accuser,
"Wilson, Sarah Jr.",1,14,0.07,9,Female,NA,single,Andover,Confessor,
"Woodwell, Elizabeth",1,6,0.17,6,Female,33,married,Salem,Accuser,
"Wycomb, Francis",1,7,0.14,9,Female,17,single,Rowley,Accuser,
